"","ncessch","qid","school_level","icf_enrolled","nces_enrolled","num_students_w2","num_students_w3","inner_flag","flag"
"1","061035009776","061035009776","HS",NA,24,NA,NA,NA,NA
"2","062979011813","062979011813","MS",NA,105,NA,NA,NA,NA
"3","080393000511","080393000511","ES",NA,133,NA,NA,NA,NA
"4","080504000827","080504000827","ES",NA,47,NA,NA,NA,NA
"5","130105002358","130105002358","MS",NA,168,NA,NA,NA,NA
"6","130129000572","130129000572","ES",NA,599,NA,NA,NA,NA
"7","170139001838","170139001838","ES",NA,207,NA,NA,NA,NA
"8","171293001541","171293001541","HS",NA,131,NA,NA,NA,NA
"9","174245004268","174245004268","HS",NA,85,NA,NA,NA,NA
"10","190906000593","190906000593","ES",NA,75,NA,NA,NA,NA
"11","260001607978","260001607978","ES",NA,85,NA,NA,NA,NA
"12","270375000175","270375000175","ES",NA,227,NA,NA,NA,NA
"13","270444004159","270444004159","HS",NA,71,NA,NA,NA,NA
"14","270624005130","270624005130","MS",NA,394,NA,NA,NA,NA
"15","273828001670","273828001670","ES",NA,200,NA,NA,NA,NA
"16","292148003112","292148003112","MS",NA,79,NA,NA,NA,NA
"17","301380000964","301380000964","MS",NA,37,NA,NA,NA,NA
"18","310011600594","310011600594","ES",NA,253,NA,NA,NA,NA
"19","310013001224","310013001224","ES",NA,169,NA,NA,NA,NA
"20","310516000150","310516000150","ES",NA,119,NA,NA,NA,NA
"21","317323000599","317323000599","MS",NA,109,NA,NA,NA,NA
"22","330736000510","330736000510","HS",NA,3140,NA,NA,NA,NA
"23","361119000888","361119000888","ES",NA,483,NA,NA,NA,NA
"24","361377001128","361377001128","MS",NA,188,NA,NA,NA,NA
"25","363192005591","363192005591","MS",NA,647,NA,NA,NA,NA
"26","380082500113","380082500113","ES",NA,65,NA,NA,NA,NA
"27","381170000381","381170000381","ES",NA,98,NA,NA,NA,NA
"28","390462102471","390462102471","ES",NA,529,NA,NA,NA,NA
"29","390506304012","390506304012","HS",NA,216,NA,NA,NA,NA
"30","391000702220","391000702220","ES",NA,NA,NA,NA,NA,NA
"31","402784001855","402784001855","MS",NA,60,NA,NA,NA,NA
"32","403117001727","403117001727","MS",NA,218,NA,NA,NA,NA
"33","460004101142","460004101142","MS",NA,85,NA,NA,NA,NA
"34","480003012231","480003012231","ES",NA,614,NA,NA,NA,NA
"35","480003013476","480003013476","MS",NA,472,NA,NA,NA,NA
"36","480809000134","480809000134","ES",NA,NA,NA,NA,NA,NA
"37","483891008022","483891008022","ES",NA,129,NA,NA,NA,NA
"38","510315001333","510315001333","MS",NA,501,NA,NA,NA,NA
"39","530032403412","530032403412","HS",NA,142,NA,NA,NA,NA
"40","530531002608","530531002608","MS",NA,269,NA,NA,NA,NA
"41","530618003377","530618003377","ES",NA,201,NA,NA,NA,NA
"42","550057000088","550057000088","MS",NA,84,NA,NA,NA,NA
"43","550123000609","550123000609","MS",NA,152,NA,NA,NA,NA
"44","020018000077","MDR_00000244","ES",205,205,184,186,0,0
"45","020018000086","MDR_00000309","ES",411,411,NA,NA,0,NA
"46","020018000097","MDR_00000397","ES",309,307,NA,NA,0,NA
"47","020000100211","MDR_00002424","ES",163,163,NA,NA,0,NA
"48","020077500362","MDR_00002864","ES",92,92,NA,NA,0,NA
"49","020076000663","MDR_00003002","HS",63,63,100,66,0,0
"50","020000300222","MDR_00003105","MS",123,123,NA,NA,0,NA
"51","020072000661","MDR_00003703","MS",174,174,NA,NA,0,NA
"52","010066000270","MDR_00005672","HS",693,693,NA,NA,0,NA
"53","010093000359","MDR_00006913","ES",188,198,NA,NA,0,NA
"54","010102000387","MDR_00007319","HS",539,539,NA,NA,0,NA
"55","010129000470","MDR_00008179","ES",935,935,NA,NA,0,NA
"56","010138000509","MDR_00008648","ES",321,321,NA,NA,0,NA
"57","010147000521","MDR_00008923","HS",241,241,NA,NA,0,NA
"58","010174000604","MDR_00009381","HS",418,418,NA,NA,0,NA
"59","010123001449","MDR_00009575","ES",354,330,NA,NA,0,NA
"60","010039000165","MDR_00010079","HS",669,669,NA,NA,0,NA
"61","010039000112","MDR_00010213","ES",522,522,NA,NA,0,NA
"62","010192000695","MDR_00011255","ES",732,1115,NA,NA,1,NA
"63","010192000702","MDR_00011358","HS",750,750,NA,NA,0,NA
"64","010195000756","MDR_00012522","ES",747,747,NA,NA,0,NA
"65","010195000756","MDR_00012522","MS",747,747,NA,NA,0,NA
"66","010201000765","MDR_00012699","HS",1310,1310,NA,NA,0,NA
"67","010237000932","MDR_00015275","ES",610,610,NA,NA,0,NA
"68","010282001119","MDR_00017546","HS",433,433,NA,NA,0,NA
"69","010265001573","MDR_00017962","HS",1119,1121,NA,NA,0,NA
"70","010309001592","MDR_00018277","MS",140,142,120,115,0,0
"71","050000100218","MDR_00020141","ES",478,498,NA,NA,0,NA
"72","050228000007","MDR_00021054","MS",234,234,NA,NA,0,NA
"73","050621001230","MDR_00023818","ES",424,448,NA,NA,0,NA
"74","050621000335","MDR_00023820","MS",330,330,NA,NA,0,NA
"75","050547000259","MDR_00024147","HS",324,324,NA,NA,0,NA
"76","050007000768","MDR_00026377","HS",402,401,401,356,0,0
"77","050002001298","MDR_00026432","MS",245,245,NA,NA,0,NA
"78","051113000837","MDR_00028375","HS",312,312,325,327,0,0
"79","050002901275","MDR_00029252","ES",630,630,600,564,0,0
"80","050951000694","MDR_00030615","HS",167,167,NA,NA,0,NA
"81","050004801348","MDR_00030861","HS",302,302,NA,NA,0,NA
"82","051068000783","MDR_00031932","ES",312,372,NA,NA,0,NA
"83","051185000940","MDR_00032522","ES",388,408,397,372,0,0
"84","050007601643","MDR_00033760","ES",152,152,NA,NA,0,NA
"85","050633000358","MDR_00033875","MS",852,852,780,775,0,0
"86","050612000324","MDR_00035380","MS",670,670,NA,NA,0,NA
"87","050348000106","MDR_00035811","ES",244,283,NA,NA,0,NA
"88","050007901521","MDR_00036437","MS",531,531,NA,NA,0,NA
"89","040713001044","MDR_00036528","HS",366,383,NA,NA,0,NA
"90","040308000241","MDR_00037716","ES",124,122,NA,NA,0,NA
"91","040373000293","MDR_00037998","HS",82,93,90,82,0,0
"92","040084000044","MDR_00038667","ES",250,260,256,288,0,0
"93","040168000089","MDR_00038825","MS",676,703,NA,NA,0,NA
"94","040432000343","MDR_00039714","ES",597,649,NA,NA,0,NA
"95","040630000531","MDR_00040804","MS",547,500,NA,NA,0,NA
"96","040401000322","MDR_00043052","HS",168,135,NA,NA,0,NA
"97","040880000869","MDR_00044587","MS",348,343,NA,NA,0,NA
"98","040274000203","MDR_00045593","ES",126,125,118,119,0,0
"99","040000500629","MDR_00046858","MS",110,118,NA,NA,0,NA
"100","061440001684","MDR_00048234","ES",910,910,926,884,0,0
"101","060240504288","MDR_00049719","ES",484,484,485,471,0,0
"102","062805004266","MDR_00049977","ES",461,461,450,452,0,0
"103","064254006964","MDR_00053203","MS",615,615,626,612,0,0
"104","062637008916","MDR_00054283","MS",936,936,NA,NA,0,NA
"105","063255005022","MDR_00054867","HS",1605,1605,NA,NA,0,NA
"106","063255005056","MDR_00055201","ES",367,367,NA,NA,0,NA
"107","061077001199","MDR_00055938","MS",262,262,251,232,0,0
"108","061455001780","MDR_00057792","ES",735,735,NA,NA,0,NA
"109","060797007674","MDR_00058992","ES",698,698,NA,NA,0,NA
"110","062244002693","MDR_00061810","HS",94,94,NA,NA,0,NA
"111","060363000302","MDR_00062084","ES",580,580,479,527,0,0
"112","061329011599","MDR_00062840","MS",589,598,NA,NA,0,NA
"113","063888006529","MDR_00064020","HS",1212,1212,NA,NA,0,NA
"114","063227007335","MDR_00064707","HS",653,653,750,745,0,0
"115","062007002403","MDR_00064886","MS",724,724,NA,NA,0,NA
"116","062067002485","MDR_00064927","ES",485,450,NA,NA,0,NA
"117","062067002487","MDR_00064939","ES",527,527,535,500,0,0
"118","060162000005","MDR_00065567","ES",505,505,NA,NA,0,NA
"119","060162000004","MDR_00065581","ES",669,669,NA,NA,0,NA
"120","060162000011","MDR_00065646","ES",519,519,NA,NA,0,NA
"121","060015310945","MDR_00065828","ES",513,513,810,791,0,1
"122","060444000404","MDR_00066690","ES",491,491,NA,NA,0,NA
"123","060444000397","MDR_00066717","ES",663,663,NA,NA,0,NA
"124","061185001312","MDR_00068662","MS",1154,1154,NA,NA,0,NA
"125","062013002408","MDR_00070873","HS",1383,2069,NA,NA,1,NA
"126","062250002733","MDR_00071827","HS",3267,3267,NA,NA,0,NA
"127","062271002897","MDR_00072558","MS",880,880,NA,NA,0,NA
"128","062271002992","MDR_00072699","ES",473,473,NA,NA,0,NA
"129","062271003330","MDR_00072986","HS",2549,2549,NA,NA,0,NA
"130","062271003170","MDR_00074427","ES",489,489,NA,NA,0,NA
"131","062271003017","MDR_00075275","MS",1863,1863,NA,NA,0,NA
"132","062271003206","MDR_00075861","ES",391,391,NA,NA,0,NA
"133","062271003139","MDR_00076360","HS",1103,1103,NA,NA,0,NA
"134","062271003118","MDR_00076712","ES",792,792,705,650,0,1
"135","062271003115","MDR_00077182","ES",998,998,NA,NA,0,NA
"136","062271003111","MDR_00078368","ES",415,415,NA,NA,0,NA
"137","062301003509","MDR_00078734","ES",470,470,441,482,0,0
"138","062301003512","MDR_00078772","MS",805,805,NA,NA,0,NA
"139","062619003911","MDR_00079453","ES",474,474,NA,NA,0,NA
"140","063132004850","MDR_00080919","ES",352,352,300,300,0,0
"141","063375005211","MDR_00081444","ES",530,530,NA,NA,0,NA
"142","063570006091","MDR_00081688","ES",582,582,NA,NA,0,NA
"143","063750006334","MDR_00082060","ES",696,696,580,586,0,1
"144","063942006572","MDR_00082606","HS",153,153,NA,NA,0,NA
"145","060236000125","MDR_00088375","ES",169,169,NA,NA,0,NA
"146","062052002473","MDR_00089056","MS",157,157,NA,NA,0,NA
"147","061407001614","MDR_00090299","ES",407,407,NA,NA,0,NA
"148","060342000260","MDR_00090768","MS",741,741,729,725,0,0
"149","061215001368","MDR_00090926","ES",158,158,NA,NA,0,NA
"150","061187001327","MDR_00091786","MS",95,95,NA,NA,0,NA
"151","063398005337","MDR_00092936","MS",1221,1221,NA,NA,0,NA
"152","063386005295","MDR_00094207","ES",575,575,NA,NA,0,NA
"153","060263000184","MDR_00094817","MS",871,871,795,793,0,0
"154","061422001630","MDR_00095689","ES",525,525,505,505,0,0
"155","062019002414","MDR_00097027","ES",454,454,NA,NA,0,NA
"156","062343003558","MDR_00097194","ES",463,463,NA,NA,0,NA
"157","060243000130","MDR_00100753","ES",493,493,NA,NA,0,NA
"158","061111001226","MDR_00101501","HS",2034,2034,NA,NA,0,NA
"159","060133201984","MDR_00103573","MS",621,621,NA,NA,0,NA
"160","063462005756","MDR_00105088","HS",2079,2079,NA,NA,0,NA
"161","063462005807","MDR_00105624","ES",333,333,NA,NA,0,NA
"162","061392009543","MDR_00107842","ES",400,400,NA,NA,0,NA
"163","063207004947","MDR_00108731","ES",639,639,NA,NA,0,NA
"164","060681000604","MDR_00110198","ES",600,600,NA,NA,0,NA
"165","060681000614","MDR_00110277","ES",657,657,NA,NA,0,NA
"166","061291001467","MDR_00111130","HS",2202,2202,2012,2100,0,1
"167","062667004044","MDR_00111946","ES",499,499,NA,NA,0,NA
"168","063171004907","MDR_00112421","ES",425,425,349,371,0,0
"169","063488005894","MDR_00112512","MS",1075,1075,990,998,0,0
