qid,hsms,num_students_w2,num_students_w3
MDR_01548093,3,451,451
MDR_00983426,3,411,421
MDR_00255877,1,366,338
MDR_01098775,1,289,267
MDR_11150406,2,335,232
MDR_00791455,1,221,218
MDR_11007287,3,151,186
62610013179,3,215,153
MDR_03011412,2,120,124
MDR_11635652,3,132,120
MDR_00003002,3,100,66
MDR_00211560,3,1707,1750
MDR_00425606,2,587,535
MDR_01110892,1,573,578
MDR_01019169,1,509,533
MDR_00783927,2,405,382
MDR_00028375,3,325,327
MDR_12109618,2,293,260
MDR_00598174,2,209,245
MDR_10027703,2,145,115
MDR_12378027,3,128,116
MDR_00842066,3,102,99
MDR_00654510,1,45,54
3.31E+11,3,3170,3100
MDR_10750479,3,2331,2300
MDR_00510031,3,2275,2270
MDR_01072032,3,2200,2200
MDR_11823081,1,2200,2200
MDR_00638853,3,2021,2100
MDR_00111130,3,2012,2100
MDR_00527917,3,2011,2040
MDR_00198047,3,1995,2200
MDR_04754978,3,1700,1700
MDR_11735317,2,1575,1550
MDR_12114900,1,1500,1500
MDR_00180882,2,1426,1452
MDR_10908810,2,1364,1370
MDR_00856407,3,1354,1349
MDR_00732409,3,1329,1300
MDR_11130937,2,1273,1276
MDR_00148975,2,1265,1246
MDR_12031774,2,1259,1276
MDR_00410247,3,1151,1094
MDR_05346495,3,1144,1164
MDR_11445548,3,1135,1123
MDR_00880501,3,1084,1063
MDR_11074797,3,1065,1090
MDR_00694613,3,1056,1038
MDR_02857201,2,1042,1047
MDR_01116987,3,1020,1020
MDR_00553215,3,1010,1010
MDR_10026759,2,998,957
MDR_00112512,2,990,998
MDR_12321957,2,980,980
MDR_12170904,1,967,976
MDR_10027856,2,965,910
MDR_01067714,2,958,948
MDR_01119068,3,955,953
MDR_04017005,2,927,923
MDR_00048234,1,926,884
MDR_00738594,2,913,933
MDR_10981018,3,888,850
MDR_11014876,1,877,1045
MDR_00335489,2,869,868
MDR_11076953,2,868,866
MDR_00169840,3,852,821
MDR_00169498,2,845,852
MDR_12309325,1,835,830
MDR_00210671,1,834,832
MDR_11832692,1,825,820
MDR_00065828,1,810,791
MDR_00430077,3,810,811
MDR_11136656,1,810,820
MDR_11557658,3,808,788
MDR_00430962,2,807,928
MDR_00094817,2,795,793
MDR_00033875,2,780,775
MDR_11830826,3,774,765
MDR_05356244,1,764,888
MDR_04919300,3,754,725
MDR_00709775,1,753,757
MDR_00064707,3,750,745
MDR_04807707,2,750,764
MDR_11714038,1,746,744
MDR_11102409,2,745,753
MDR_00223238,3,738,726
MDR_00676881,1,738,733
MDR_00804181,2,735,750
MDR_05000914,1,735,753
MDR_00090768,2,729,725
MDR_12030990,2,722,705
MDR_00334796,2,720,681
MDR_02888717,1,715,715
MDR_00076712,1,705,650
MDR_04952510,2,702,680
MDR_00172158,3,700,700
MDR_00379710,2,698,690
MDR_01541576,1,697,695
MDR_00469731,3,695,720
MDR_00171867,3,692,676
MDR_00512417,2,690,690
MDR_00216273,1,679,688
MDR_00201412,1,671,685
MDR_00290736,1,670,671
MDR_00762349,1,669,704
MDR_05345922,1,669,546
MDR_00195435,2,664,640
MDR_11713307,1,659,700
MDR_04947412,1,657,651
MDR_01522192,1,655,676
MDR_11129055,3,651,630
MDR_00643080,2,650,700
MDR_11451808,2,650,650
MDR_05274799,1,643,604
MDR_01114109,2,640,645
MDR_01026318,1,639,661
MDR_00053203,2,626,612
MDR_00534271,1,623,630
5.31E+11,1,620,538
MDR_00937518,1,615,613
MDR_00338405,3,610,610
MDR_00962692,1,609,607
MDR_10004660,1,605,620
MDR_11830096,1,602,596
MDR_02897524,2,601,640
MDR_00029252,1,600,564
MDR_05280190,2,600,600
MDR_00427824,2,598,576
MDR_04030887,1,590,601
MDR_11919501,1,588,577
MDR_00377944,2,585,580
MDR_01081801,3,584,573
MDR_01021045,1,583,576
MDR_03009524,1,582,604
MDR_00082060,1,580,586
MDR_00193102,1,580,620
MDR_00223549,3,580,600
MDR_00234653,3,577,600
MDR_00308967,2,577,576
MDR_00561236,3,576,592
MDR_00229701,1,574,595
MDR_00348204,1,571,560
MDR_00641197,1,570,654
MDR_00393962,1,555,555
MDR_04454312,1,555,584
MDR_00427989,3,552,551
MDR_00747741,1,552,526
MDR_01108356,1,552,560
MDR_02848561,1,550,650
MDR_04286414,1,550,550
MDR_12225975,1,550,610
MDR_05272088,1,545,546
MDR_00769878,1,544,560
MDR_00227507,1,542,533
MDR_11564065,2,542,584
MDR_00585256,3,538,538
MDR_11702310,3,537,487
MDR_00064939,1,535,500
MDR_00395128,3,535,500
MDR_04918435,1,535,530
MDR_04921468,1,534,593
MDR_00365410,1,526,503
MDR_03399276,1,525,500
MDR_00201383,1,520,516
MDR_00532467,1,520,505
MDR_00894368,1,520,527
MDR_01113569,1,520,525
MDR_11916949,1,516,507
MDR_11151527,3,512,504
MDR_00339734,1,510,525
MDR_01090993,1,510,529
MDR_04749272,1,508,513
MDR_01120146,3,507,500
MDR_00095689,1,505,505
MDR_02044911,1,503,533
MDR_05276228,2,503,509
MDR_11712353,2,500,500
MDR_00644175,1,499,507
MDR_11103958,1,496,495
MDR_00344947,1,495,500
MDR_00410326,1,490,493
MDR_00858716,1,489,475
MDR_00125662,1,486,495
MDR_00049719,1,485,471
MDR_00708094,1,485,487
MDR_04994439,1,485,424
MDR_00384038,1,483,409
MDR_05102005,1,481,439
MDR_11455086,2,480,477
MDR_00062084,1,479,527
MDR_00377437,1,475,521
MDR_12372774,1,471,454
MDR_00506822,1,467,467
MDR_12180222,1,466,461
MDR_01145213,1,465,490
MDR_01524102,1,462,465
MDR_01083108,2,460,460
MDR_04435768,1,460,461
MDR_04872893,1,459,459
MDR_01040261,1,456,480
MDR_01132242,1,452,452
MDR_11134880,1,451,453
MDR_00049977,1,450,452
MDR_00909822,3,450,450
MDR_11819119,2,445,450
MDR_00771041,1,444,450
MDR_00980931,1,443,456
MDR_00078734,1,441,482
MDR_11450268,1,436,438
MDR_11705219,1,436,432
MDR_00644204,2,432,429
MDR_00691245,1,431,433
MDR_01103370,1,429,423
MDR_00172586,1,427,426
MDR_00508014,1,426,432
MDR_00577986,3,426,426
MDR_00417221,2,425,431
MDR_00291132,1,420,420
MDR_01059274,1,420,501
MDR_00462238,1,418,460
1.71E+11,3,417,417
MDR_00418237,2,416,388
MDR_01828403,1,416,422
MDR_04467450,1,415,413
MDR_11073080,1,413,415
MDR_00403725,1,410,408
MDR_00628365,1,410,403
MDR_05368118,2,410,410
MDR_00305680,1,406,406
MDR_01088249,1,405,402
MDR_01120330,2,405,405
MDR_00575419,1,402,401
MDR_02907272,1,402,450
MDR_00026377,3,401,356
MDR_00520505,1,400,385
MDR_03393492,3,400,400
MDR_05282552,1,400,400
MDR_00032522,1,397,372
MDR_00640480,1,395,398
MDR_00308785,1,393,387
MDR_01078189,1,393,378
MDR_00767741,1,390,385
MDR_04287626,1,388,376
MDR_04751665,1,384,386
5.50E+11,2,375,367
MDR_00375269,1,375,393
MDR_00465058,1,370,370
MDR_00258271,1,365,415
MDR_00672586,1,364,348
MDR_00513590,2,363,368
MDR_00822640,2,363,370
MDR_03250125,1,363,369
MDR_00338558,1,362,370
MDR_00112952,1,360,356
MDR_00487094,1,360,365
MDR_00667892,1,360,366
MDR_02200488,2,360,393
MDR_00571621,1,358,375
MDR_12169462,1,356,357
3.61E+11,2,355,350
MDR_01082647,1,354,356
MDR_03241497,2,354,354
MDR_00542606,3,352,386
MDR_00985759,1,352,365
MDR_00514453,3,350,335
MDR_00674895,1,350,328
MDR_00874801,1,350,408
MDR_00112421,1,349,371
MDR_01108693,1,348,365
MDR_02177570,1,348,352
MDR_00445321,3,346,340
MDR_00956485,2,344,351
MDR_00576918,2,341,340
2.74E+11,1,340,390
MDR_00874655,1,340,335
MDR_02894209,1,340,370
